599, Eyoma                , Spurs          
600, Sterling             , Spurs          
601, Marsh                , Spurs          
602, Gomes                , Watford        
603, Dahlberg             , Watford        
604, Kaboul               , Watford        
605, Zeegelaar            , Watford        
606, Sinclair             , Watford        
607, Peñaranda            , Watford        
608, San Miguel del Casti , West Ham       
609, Reid                 , West Ham       
610, Byram                , West Ham       
611, Oxford               , West Ham       
612, Fernandes            , West Ham       
613, Hugill               , West Ham       
614, Powell               , West Ham       
615, Coventry             , West Ham       
616, Holland              , West Ham       
617, Douglas              , Wolves         
618, Batth                , Wolves         
619, Gonçalves Miranda    , Wolves         
620, Enobakhare           , Wolves         
621, Mir                  , Wolves         
622, Hause                , Wolves         
623, Giles                , Wolves         
624, John                 , Wolves         
